"fund_name","company_name"
"Canara Robeco Bluechip Equity Fund","PI Industries Ltd."
"Canara Robeco Bluechip Equity Fund","Samvardhana Motherson International Ltd."
"Canara Robeco Bluechip Equity Fund","Sona Blw Precision Forgings Ltd."
"Canara Robeco Bluechip Equity Fund","SRF Ltd."
"Canara Robeco Bluechip Equity Fund","Tata Consumer Products Ltd."
"Canara Robeco Bluechip Equity Fund","Titan Co Ltd."
"Canara Robeco Bluechip Equity Fund","Ultratech Cement Ltd."
"Canara Robeco Bluechip Equity Fund","United Spirits Ltd."
"Canara Robeco Bluechip Equity Fund","HDFC Bank Ltd."
"Canara Robeco Bluechip Equity Fund","ICICI Bank Ltd."
"Canara Robeco Bluechip Equity Fund","Apollo Hospitals Enterprise Ltd."
"Canara Robeco Bluechip Equity Fund","Sun Pharmaceuticals Industries Ltd."
"Canara Robeco Bluechip Equity Fund","SBI Life Insurance Co. Ltd."
"ICICI Prudential Bluechip Fund","Tech Mahindra Ltd."
"ICICI Prudential Bluechip Fund","JM Financial Ltd."
"ICICI Prudential Bluechip Fund","Syngene International Ltd."
"ICICI Prudential Bluechip Fund","Zee Entertainment Enterprises Ltd."
"ICICI Prudential Bluechip Fund","Gujarat Pipavav Port Ltd."
"ICICI Prudential Bluechip Fund","Gillete India Ltd."
"ICICI Prudential Bluechip Fund","Hindustan Unilever Ltd."
"ICICI Prudential Bluechip Fund","Dabur India Ltd."
"ICICI Prudential Bluechip Fund","Birla Corp Ltd."
"ICICI Prudential Bluechip Fund","Alkem Laboratories Ltd."
"ICICI Prudential Bluechip Fund","ICICI Bank Ltd."
"ICICI Prudential Bluechip Fund","ICICI Bank Ltd."
"ICICI Prudential Bluechip Fund","Tata Consultancy Services Ltd."
"ICICI Prudential Bluechip Fund","Tata Motors Ltd."
"ICICI Prudential Bluechip Fund","Maruti Suzuki India Ltd."
"ICICI Prudential Bluechip Fund","TVS Motor Company Ltd."
"ICICI Prudential Bluechip Fund","Ultratech Cement Ltd."
"ICICI Prudential Bluechip Fund","Kotak Mahindra Bank Ltd."
"ICICI Prudential Bluechip Fund","Bharat Petroleum Corporation Ltd."
"ICICI Prudential Bluechip Fund","Larsen & Toubro Ltd."
"ICICI Prudential Bluechip Fund","Axis Bank Ltd."
"ICICI Prudential Bluechip Fund","HCL Technologies Ltd."
"ICICI Prudential Bluechip Fund","Bharti Airtel Ltd."
"ICICI Prudential Bluechip Fund","ITC Ltd."
"ICICI Prudential Bluechip Fund","NTPC Ltd."
"ICICI Prudential Bluechip Fund","Infosys Ltd."
"ICICI Prudential Bluechip Fund","Tata Motors Ltd."
"ICICI Prudential Bluechip Fund","Interglobe Aviation Ltd."
"ICICI Prudential Bluechip Fund","Oil & Natural Gas Corporation Ltd."
"ICICI Prudential Bluechip Fund","Hindalco Industries Ltd."
"ICICI Prudential Bluechip Fund","DLF Ltd."
