index,date,open,high,low,close,adjclose,volume
0,2019-06-10,61.189998626708984,61.189998626708984,61.189998626708984,61.189998626708984,61.189998626708984,0.0
1,2019-06-11,61.47999954223633,61.47999954223633,61.47999954223633,61.47999954223633,61.47999954223633,0.0
2,2019-06-12,61.189998626708984,61.189998626708984,61.189998626708984,61.189998626708984,61.189998626708984,0.0
3,2019-06-13,61.119998931884766,61.119998931884766,61.119998931884766,61.119998931884766,61.119998931884766,0.0
4,2019-06-14,60.75,60.75,60.75,60.75,60.75,0.0
5,2019-06-17,59.970001220703125,59.970001220703125,59.970001220703125,59.970001220703125,59.970001220703125,0.0
6,2019-06-18,60.09000015258789,60.09000015258789,60.09000015258789,60.09000015258789,60.09000015258789,0.0
7,2019-06-19,59.810001373291016,59.810001373291016,59.810001373291016,59.810001373291016,59.810001373291016,0.0
8,2019-06-20,60.599998474121094,60.599998474121094,60.599998474121094,60.599998474121094,60.599998474121094,0.0
9,2019-06-21,60.439998626708984,60.439998626708984,60.439998626708984,60.439998626708984,60.439998626708984,0.0
10,2019-06-24,60.2599983215332,60.2599983215332,60.2599983215332,60.2599983215332,60.2599983215332,0.0
11,2019-06-25,60.63999938964844,60.63999938964844,60.63999938964844,60.63999938964844,60.63999938964844,0.0
12,2019-06-26,61.08000183105469,61.08000183105469,61.08000183105469,61.08000183105469,61.08000183105469,0.0
13,2019-06-27,61.16999816894531,61.16999816894531,61.16999816894531,61.16999816894531,61.16999816894531,0.0
14,2019-06-28,61.119998931884766,61.119998931884766,61.119998931884766,61.119998931884766,61.119998931884766,0.0
15,2019-07-01,61.369998931884766,61.369998931884766,61.369998931884766,61.369998931884766,61.369998931884766,0.0
16,2019-07-02,61.52000045776367,61.52000045776367,61.52000045776367,61.52000045776367,61.52000045776367,0.0
17,2019-07-03,61.41999816894531,61.41999816894531,61.41999816894531,61.41999816894531,61.41999816894531,0.0
18,2019-07-04,61.5099983215332,61.5099983215332,61.5099983215332,61.5099983215332,61.5099983215332,0.0
19,2019-07-05,60.79999923706055,60.79999923706055,60.79999923706055,60.79999923706055,60.79999923706055,0.0
20,2019-07-08,59.54999923706055,59.54999923706055,59.54999923706055,59.54999923706055,59.54999923706055,0.0
21,2019-07-09,59.66999816894531,59.66999816894531,59.66999816894531,59.66999816894531,59.66999816894531,0.0
