Net Asset Value,Repurchase Price,Sale Price,NAV date
54.8724,,,05-Jan-23
54.6212,,,06-Jan-23
55.2822,,,09-Jan-23
54.89,,,10-Jan-23
54.9345,,,11-Jan-23
54.8658,,,12-Jan-23
55.0367,,,13-Jan-23
54.8238,,,16-Jan-23
55.1426,,,17-Jan-23
55.4788,,,18-Jan-23
55.4433,,,19-Jan-23
55.2821,,,20-Jan-23
55.5613,,,23-Jan-23
55.5296,,,24-Jan-23
54.6656,,,25-Jan-23
53.8991,,,27-Jan-23
53.9723,,,30-Jan-23
54.3151,,,31-Jan-23
54.3943,,,01-Feb-23
54.4309,,,02-Feb-23
54.9968,,,03-Feb-23
54.8948,,,06-Feb-23
54.7257,,,07-Feb-23
55.0905,,,08-Feb-23
55.1672,,,09-Feb-23
55.1218,,,10-Feb-23
54.8568,,,13-Feb-23
55.1849,,,14-Feb-23
55.4233,,,15-Feb-23
55.461,,,16-Feb-23
55.2408,,,17-Feb-23
55.0447,,,20-Feb-23
55.0214,,,21-Feb-23
54.226,,,22-Feb-23
54.2607,,,23-Feb-23
54.0826,,,24-Feb-23
53.8192,,,27-Feb-23
53.6383,,,28-Feb-23
54.0989,,,01-Mar-23
53.794,,,02-Mar-23
54.5341,,,03-Mar-23
54.8455,,,06-Mar-23
55.1219,,,08-Mar-23
54.7717,,,09-Mar-23
54.2781,,,10-Mar-23
53.4159,,,13-Mar-23
53.1893,,,14-Mar-23
52.957,,,15-Mar-23
53.0447,,,16-Mar-23
53.3825,,,17-Mar-23
52.9604,,,20-Mar-23
53.4031,,,21-Mar-23
53.5221,,,22-Mar-23
53.3089,,,23-Mar-23
52.842,,,24-Mar-23
52.7631,,,27-Mar-23
52.6916,,,28-Mar-23
53.1709,,,29-Mar-23
53.9927,,,31-Mar-23
54.1156,,,03-Apr-23
54.5492,,,05-Apr-23
54.6955,,,06-Apr-23
54.7556,,,10-Apr-23
54.9122,,,11-Apr-23
55.1351,,,12-Apr-23
55.1708,,,13-Apr-23
54.9843,,,17-Apr-23
54.9264,,,18-Apr-23
54.8223,,,19-Apr-23
54.8935,,,20-Apr-23
54.8633,,,21-Apr-23
55.2405,,,24-Apr-23
55.3689,,,25-Apr-23
55.6148,,,26-Apr-23
55.9279,,,27-Apr-23
56.5025,,,28-Apr-23
56.8361,,,02-May-23
56.7996,,,03-May-23
57.2746,,,04-May-23
56.8551,,,05-May-23
57.5905,,,08-May-23
57.549,,,09-May-23
57.7236,,,10-May-23
57.7497,,,11-May-23
57.8039,,,12-May-23
58.1437,,,15-May-23
58.025,,,16-May-23
57.8647,,,17-May-23
57.8294,,,18-May-23
57.9212,,,19-May-23
57.9372,,,22-May-23
57.972,,,23-May-23
57.8843,,,24-May-23
58.0686,,,25-May-23
58.6834,,,26-May-23
58.9288,,,29-May-23
59.1501,,,30-May-23
59.049,,,31-May-23
59.0016,,,01-Jun-23
59.2294,,,02-Jun-23
59.4837,,,05-Jun-23
59.5744,,,06-Jun-23
60.0903,,,07-Jun-23
59.8054,,,08-Jun-23
59.6638,,,09-Jun-23
59.8254,,,12-Jun-23
60.2878,,,13-Jun-23
60.3523,,,14-Jun-23
60.1116,,,15-Jun-23
60.6159,,,16-Jun-23
60.4369,,,19-Jun-23
60.7188,,,20-Jun-23
60.7625,,,21-Jun-23
60.3043,,,22-Jun-23
59.8822,,,23-Jun-23
60.0168,,,26-Jun-23
60.4628,,,27-Jun-23
60.9766,,,28-Jun-23
61.643,,,30-Jun-23
62.0641,,,03-Jul-23
62.1275,,,04-Jul-23
62.253,,,05-Jul-23
62.5778,,,06-Jul-23
62.2245,,,07-Jul-23
62.2389,,,10-Jul-23
62.643,,,11-Jul-23
62.6786,,,12-Jul-23
62.5905,,,13-Jul-23
63.042,,,14-Jul-23
63.5268,,,17-Jul-23
63.5042,,,18-Jul-23
63.9237,,,19-Jul-23
64.3298,,,20-Jul-23
63.9177,,,21-Jul-23
63.8456,,,24-Jul-23
63.9752,,,25-Jul-23
64.2152,,,26-Jul-23
63.9899,,,27-Jul-23
64.1783,,,28-Jul-23
64.5698,,,31-Jul-23
64.5949,,,01-Aug-23
63.7462,,,02-Aug-23
63.4133,,,03-Aug-23
63.8836,,,04-Aug-23
64.0478,,,07-Aug-23
64.0538,,,08-Aug-23
64.4424,,,09-Aug-23
64.3175,,,10-Aug-23
64.1156,,,11-Aug-23
63.9109,,,14-Aug-23
64.0787,,,16-Aug-23
63.8778,,,17-Aug-23
63.7438,,,18-Aug-23
64.0595,,,21-Aug-23
64.3266,,,22-Aug-23
64.6564,,,23-Aug-23
64.5796,,,24-Aug-23
64.004,,,25-Aug-23
64.1967,,,28-Aug-23
64.3529,,,29-Aug-23
64.6096,,,30-Aug-23
64.4494,,,31-Aug-23
65.03,,,01-Sep-23
65.3451,,,04-Sep-23
65.4924,,,05-Sep-23
65.6419,,,06-Sep-23
66.1611,,,07-Sep-23
66.6106,,,08-Sep-23
67.1646,,,11-Sep-23
66.5066,,,12-Sep-23
66.6318,,,13-Sep-23
66.8459,,,14-Sep-23
67.0584,,,15-Sep-23
66.9193,,,18-Sep-23
66.2832,,,20-Sep-23
65.6197,,,21-Sep-23
65.5939,,,22-Sep-23
65.4757,,,25-Sep-23
65.5631,,,26-Sep-23
65.795,,,27-Sep-23
65.8137,,,29-Sep-23
65.7032,,,03-Oct-23
65.0869,,,04-Oct-23
65.4371,,,05-Oct-23
65.7976,,,06-Oct-23
65.1161,,,09-Oct-23
65.7766,,,10-Oct-23
66.1261,,,11-Oct-23
66.2928,,,12-Oct-23
66.0913,,,13-Oct-23
66.2001,,,16-Oct-23
66.4703,,,17-Oct-23
65.8963,,,18-Oct-23
65.7339,,,19-Oct-23
65.2631,,,20-Oct-23
64.1786,,,23-Oct-23
63.7162,,,25-Oct-23
62.9903,,,26-Oct-23
63.7342,,,27-Oct-23
63.8893,,,30-Oct-23
63.7902,,,31-Oct-23
63.5904,,,01-Nov-23
64.1607,,,02-Nov-23
64.6012,,,03-Nov-23
65.2093,,,06-Nov-23
65.2263,,,07-Nov-23
65.3759,,,08-Nov-23
65.1597,,,09-Nov-23
65.2267,,,10-Nov-23
65.4142,,,13-Nov-23
65.9252,,,15-Nov-23
66.1744,,,16-Nov-23
65.9968,,,17-Nov-23
65.9117,,,20-Nov-23
66.1261,,,21-Nov-23
66.05,,,22-Nov-23
66.0875,,,23-Nov-23
66.0876,,,24-Nov-23
66.4556,,,28-Nov-23
67.0421,,,29-Nov-23
67.2605,,,30-Nov-23
67.9274,,,01-Dec-23
69.1289,,,04-Dec-23
69.4324,,,05-Dec-23
69.8071,,,06-Dec-23
70.1056,,,07-Dec-23
70.2387,,,08-Dec-23
70.5305,,,11-Dec-23
70.3024,,,12-Dec-23
70.6757,,,13-Dec-23
71.4083,,,14-Dec-23
72.1955,,,15-Dec-23
72.2517,,,18-Dec-23
72.3524,,,19-Dec-23
70.7792,,,20-Dec-23
71.284,,,21-Dec-23
71.5595,,,22-Dec-23
71.73,,,26-Dec-23
72.3493,,,27-Dec-23
72.7496,,,28-Dec-23
72.8909,,,29-Dec-23
73.0433,,,01-Jan-24
73.015,,,02-Jan-24
72.8074,,,03-Jan-24
73.5274,,,04-Jan-24
73.6464,,,05-Jan-24
73.0178,,,08-Jan-24
73.2356,,,09-Jan-24
73.448,,,10-Jan-24
73.7063,,,11-Jan-24
74.2842,,,12-Jan-24
74.707,,,15-Jan-24
74.5307,,,16-Jan-24
73.0962,,,17-Jan-24
72.8878,,,18-Jan-24
73.6159,,,19-Jan-24
72.0265,,,23-Jan-24
72.9314,,,24-Jan-24
72.7619,,,25-Jan-24
73.9853,,,29-Jan-24
73.3509,,,30-Jan-24
74.0151,,,31-Jan-24
73.9016,,,01-Feb-24
74.2563,,,02-Feb-24
74.0309,,,05-Feb-24
74.6923,,,06-Feb-24
75.3799,,,07-Feb-24
74.9773,,,08-Feb-24
75.2347,,,09-Feb-24
74.0979,,,12-Feb-24
74.6033,,,13-Feb-24
75.1967,,,14-Feb-24
75.4784,,,15-Feb-24
75.8325,,,16-Feb-24
75.9656,,,19-Feb-24
76.2913,,,20-Feb-24
76.0161,,,21-Feb-24
76.6625,,,22-Feb-24
76.8428,,,23-Feb-24
76.661,,,26-Feb-24
76.7264,,,27-Feb-24
75.8796,,,28-Feb-24
76.2715,,,29-Feb-24
77.4627,,,01-Mar-24
77.881,,,04-Mar-24
77.8925,,,05-Mar-24
77.851,,,06-Mar-24
78.242,,,07-Mar-24
77.5044,,,11-Mar-24
77.2007,,,12-Mar-24
75.6696,,,13-Mar-24
76.2454,,,14-Mar-24
75.911,,,15-Mar-24
76.1728,,,18-Mar-24
75.4262,,,19-Mar-24
75.5965,,,20-Mar-24
76.5944,,,21-Mar-24
76.9529,,,22-Mar-24
77.0963,,,26-Mar-24
77.445,,,27-Mar-24
78.1945,,,28-Mar-24
78.1859,,,31-Mar-24
79.0111,,,01-Apr-24
79.0297,,,02-Apr-24
79.2019,,,03-Apr-24
79.4045,,,04-Apr-24
79.6573,,,05-Apr-24
80.1553,,,08-Apr-24
80.0982,,,09-Apr-24
80.3572,,,10-Apr-24
79.6519,,,12-Apr-24
78.6132,,,15-Apr-24
78.3847,,,16-Apr-24
77.9006,,,18-Apr-24
78.4604,,,19-Apr-24
79.2171,,,22-Apr-24
79.3513,,,23-Apr-24
79.4991,,,24-Apr-24
80.2961,,,25-Apr-24
79.8894,,,26-Apr-24
80.7148,,,29-Apr-24
80.7215,,,30-Apr-24
80.9278,,,02-May-24
80.3953,,,03-May-24
80.0205,,,06-May-24
79.4972,,,07-May-24
79.6293,,,08-May-24
78.2239,,,09-May-24
78.7968,,,10-May-24
78.9586,,,13-May-24
79.3673,,,14-May-24
79.556,,,15-May-24
80.3584,,,16-May-24
80.7185,,,17-May-24
81.0568,,,21-May-24
81.3784,,,22-May-24
82.3664,,,23-May-24
82.3253,,,24-May-24
82.2051,,,27-May-24
81.8703,,,28-May-24
81.1713,,,29-May-24
80.5746,,,30-May-24
80.9845,,,31-May-24
83.6755,,,03-Jun-24
78.1305,,,04-Jun-24
80.6756,,,05-Jun-24
81.5876,,,06-Jun-24
83.1511,,,07-Jun-24
