Net Asset Value,Repurchase Price,Sale Price,NAV date
25.019,,,11-May-20
25.019,,,11-May-20
25.0705,,,12-May-20
25.0705,,,12-May-20
25.6262,,,13-May-20
25.6262,,,13-May-20
25.1229,,,14-May-20
25.1229,,,14-May-20
25.0589,,,15-May-20
25.0589,,,15-May-20
24.03,,,18-May-20
24.03,,,18-May-20
24.1565,,,19-May-20
24.1565,,,19-May-20
24.6121,,,20-May-20
24.6121,,,20-May-20
24.8915,,,21-May-20
24.8915,,,21-May-20
24.5797,,,22-May-20
24.5797,,,22-May-20
24.533,,,26-May-20
24.533,,,26-May-20
25.1708,,,27-May-20
25.1708,,,27-May-20
25.6333,,,28-May-20
25.6333,,,28-May-20
26.0371,,,29-May-20
26.0371,,,29-May-20
26.7905,,,01-Jun-20
26.7905,,,01-Jun-20
27.0025,,,02-Jun-20
27.0025,,,02-Jun-20
27.1698,,,03-Jun-20
27.1698,,,03-Jun-20
27.216,,,04-Jun-20
27.216,,,04-Jun-20
27.9799,,,05-Jun-20
27.9799,,,05-Jun-20
28.2665,,,08-Jun-20
28.2665,,,08-Jun-20
27.8542,,,09-Jun-20
27.8542,,,09-Jun-20
27.8878,,,10-Jun-20
27.8878,,,10-Jun-20
27.1995,,,11-Jun-20
27.1995,,,11-Jun-20
27.3605,,,12-Jun-20
27.3605,,,12-Jun-20
26.8806,,,15-Jun-20
26.8806,,,15-Jun-20
26.8902,,,16-Jun-20
26.8902,,,16-Jun-20
26.8787,,,17-Jun-20
26.8787,,,17-Jun-20
27.4483,,,18-Jun-20
27.4483,,,18-Jun-20
27.9161,,,19-Jun-20
27.9161,,,19-Jun-20
28.3219,,,22-Jun-20
28.3219,,,22-Jun-20
28.7247,,,23-Jun-20
28.7247,,,23-Jun-20
28.1865,,,24-Jun-20
28.1865,,,24-Jun-20
28.1928,,,25-Jun-20
28.1928,,,25-Jun-20
28.419,,,26-Jun-20
27.912,,,29-Jun-20
27.8402,,,30-Jun-20
28.2203,,,01-Jul-20
28.4574,,,02-Jul-20
28.6297,,,03-Jul-20
29.0234,,,06-Jul-20
29.0538,,,07-Jul-20
28.9102,,,08-Jul-20
29.1162,,,09-Jul-20
28.9337,,,10-Jul-20
29.0231,,,13-Jul-20
28.5233,,,14-Jul-20
28.4215,,,15-Jul-20
28.7312,,,16-Jul-20
29.2392,,,17-Jul-20
29.4783,,,20-Jul-20
29.8427,,,21-Jul-20
29.8283,,,22-Jul-20
30.1086,,,23-Jul-20
29.8875,,,24-Jul-20
29.592,,,27-Jul-20
29.803,,,28-Jul-20
29.6885,,,29-Jul-20
29.3042,,,30-Jul-20
29.3464,,,31-Jul-20
29.1296,,,03-Aug-20
29.4463,,,04-Aug-20
29.5552,,,05-Aug-20
29.7854,,,06-Aug-20
29.897,,,07-Aug-20
30.2841,,,10-Aug-20
30.5196,,,11-Aug-20
